[layered] start gain 8.0 threshold 0.2 kept 0.388 (57s)
[layered] ep 6 batch 2700 loss 1.447 kc 0.108 (8373s)
[layered] ep 6 batch 2800 loss 1.373 kc 0.120 (8417s)
[layered] ep 6 batch 2900 loss 1.276 kc 0.109 (8462s)
[layered] epoch 6: loss 1.328 val 0.416 (8536s)
[layered] ep 7 batch 0 loss 0.785 kc 0.100 (8537s)
[layered] ep 7 batch 100 loss 1.263 kc 0.120 (8581s)
[layered] ep 7 batch 200 loss 1.327 kc 0.117 (8625s)
[layered] ep 7 batch 300 loss 1.281 kc 0.130 (8669s)
[layered] ep 7 batch 400 loss 1.223 kc 0.115 (8713s)
[layered] ep 7 batch 500 loss 1.356 kc 0.111 (8757s)
[layered] ep 7 batch 600 loss 1.271 kc 0.103 (8800s)
[layered] ep 7 batch 700 loss 1.312 kc 0.112 (8844s)
[layered] ep 7 batch 800 loss 1.526 kc 0.113 (8887s)
[layered] ep 7 batch 900 loss 1.262 kc 0.092 (8932s)
[layered] ep 7 batch 1000 loss 1.365 kc 0.114 (8975s)
[layered] ep 7 batch 1100 loss 1.289 kc 0.132 (9019s)
[layered] ep 7 batch 1200 loss 1.253 kc 0.126 (9061s)
[layered] ep 7 batch 1300 loss 1.308 kc 0.116 (9104s)
[layered] ep 7 batch 1400 loss 1.242 kc 0.122 (9148s)
[layered] ep 7 batch 1500 loss 1.318 kc 0.115 (9191s)
[layered] ep 7 batch 1600 loss 1.403 kc 0.119 (9233s)
[layered] ep 7 batch 1700 loss 1.416 kc 0.120 (9277s)
[layered] ep 7 batch 1800 loss 1.347 kc 0.132 (9320s)
[layered] ep 7 batch 1900 loss 1.189 kc 0.134 (9365s)
[layered] ep 7 batch 2000 loss 1.378 kc 0.138 (9408s)
[layered] ep 7 batch 2100 loss 1.171 kc 0.124 (9453s)
[layered] ep 7 batch 2200 loss 1.387 kc 0.129 (9496s)
[layered] ep 7 batch 2300 loss 1.259 kc 0.110 (9540s)
[layered] ep 7 batch 2400 loss 1.322 kc 0.126 (9582s)
[layered] ep 7 batch 2500 loss 1.427 kc 0.107 (9626s)
[layered] ep 7 batch 2600 loss 1.303 kc 0.137 (9669s)
[layered] ep 7 batch 2700 loss 1.386 kc 0.120 (9712s)
[layered] ep 7 batch 2800 loss 1.264 kc 0.126 (9755s)
[layered] ep 7 batch 2900 loss 1.377 kc 0.136 (9800s)
[layered] epoch 7: loss 1.316 val 0.401 (9883s)
[layered] ep 8 batch 0 loss 1.023 kc 0.119 (9883s)
[layered] ep 8 batch 100 loss 1.336 kc 0.143 (9927s)
[layered] ep 8 batch 200 loss 1.286 kc 0.142 (9970s)
[layered] ep 8 batch 300 loss 1.332 kc 0.122 (10014s)
[layered] ep 8 batch 400 loss 1.238 kc 0.137 (10058s)
[layered] ep 8 batch 500 loss 1.220 kc 0.136 (10101s)
[layered] ep 8 batch 600 loss 1.306 kc 0.129 (10146s)
[layered] ep 8 batch 700 loss 1.452 kc 0.120 (10189s)
[layered] ep 8 batch 800 loss 1.428 kc 0.126 (10233s)
[layered] ep 8 batch 900 loss 1.395 kc 0.125 (10276s)
[layered] ep 8 batch 1000 loss 1.250 kc 0.143 (10320s)
[layered] ep 8 batch 1100 loss 1.367 kc 0.125 (10364s)
[layered] ep 8 batch 1200 loss 1.330 kc 0.127 (10407s)
[layered] ep 8 batch 1300 loss 1.213 kc 0.121 (10451s)
[layered] ep 8 batch 1400 loss 1.304 kc 0.126 (10495s)
[layered] ep 8 batch 1500 loss 1.349 kc 0.122 (10538s)
[layered] ep 8 batch 1600 loss 1.378 kc 0.140 (10582s)
[layered] ep 8 batch 1700 loss 1.291 kc 0.118 (10626s)
[layered] ep 8 batch 1800 loss 1.237 kc 0.128 (10669s)
[layered] ep 8 batch 1900 loss 1.331 kc 0.112 (10712s)
[layered] ep 8 batch 2000 loss 1.277 kc 0.118 (10756s)
[layered] ep 8 batch 2100 loss 1.330 kc 0.135 (10799s)
[layered] ep 8 batch 2200 loss 1.315 kc 0.121 (10842s)
